"Tabela 9514 - População residente, por sexo, idade e forma de declaração da idade"
"Variável - População residente (Pessoas)"
"Forma de declaração da idade - Total"
"Ano - 2022"
"Grande Região";"Idade";"Sexo";""
"Norte";"Menos de 1 ano";"Homens";"137234"
"Norte";"Menos de 1 ano";"Mulheres";"132719"
"Norte";"1 ano";"Homens";"135795"
"Norte";"1 ano";"Mulheres";"131708"
"Norte";"2 anos";"Homens";"144926"
"Norte";"2 anos";"Mulheres";"141107"
"Norte";"3 anos";"Homens";"150751"
"Norte";"3 anos";"Mulheres";"145970"
"Norte";"4 anos";"Homens";"149525"
"Norte";"4 anos";"Mulheres";"143288"
"Norte";"5 anos";"Homens";"145700"
"Norte";"5 anos";"Mulheres";"140535"
"Norte";"6 anos";"Homens";"150692"
"Norte";"6 anos";"Mulheres";"144171"
"Norte";"7 anos";"Homens";"154869"
"Norte";"7 anos";"Mulheres";"149025"
"Norte";"8 anos";"Homens";"150903"
"Norte";"8 anos";"Mulheres";"143881"
"Norte";"9 anos";"Homens";"151461"
"Norte";"9 anos";"Mulheres";"146168"
"Norte";"10 anos";"Homens";"148443"
"Norte";"10 anos";"Mulheres";"140879"
"Norte";"11 anos";"Homens";"147593"
"Norte";"11 anos";"Mulheres";"140726"
"Norte";"12 anos";"Homens";"154016"
"Norte";"12 anos";"Mulheres";"147011"
"Norte";"13 anos";"Homens";"153252"
"Norte";"13 anos";"Mulheres";"147596"
"Norte";"14 anos";"Homens";"154098"
"Norte";"14 anos";"Mulheres";"147008"
"Norte";"15 anos";"Homens";"157912"
"Norte";"15 anos";"Mulheres";"152918"
"Norte";"16 anos";"Homens";"158989"
"Norte";"16 anos";"Mulheres";"152562"
"Norte";"17 anos";"Homens";"158372"
"Norte";"17 anos";"Mulheres";"153298"
"Norte";"18 anos";"Homens";"158636"
"Norte";"18 anos";"Mulheres";"151806"
"Norte";"19 anos";"Homens";"151805"
"Norte";"19 anos";"Mulheres";"149081"
"Norte";"20 anos";"Homens";"153088"
"Norte";"20 anos";"Mulheres";"151618"
"Norte";"21 anos";"Homens";"151393"
"Norte";"21 anos";"Mulheres";"148755"
"Norte";"22 anos";"Homens";"165994"
"Norte";"22 anos";"Mulheres";"162458"
"Norte";"23 anos";"Homens";"150475"
"Norte";"23 anos";"Mulheres";"149427"
"Norte";"24 anos";"Homens";"145016"
"Norte";"24 anos";"Mulheres";"145873"
"Norte";"25 anos";"Homens";"149169"
"Norte";"25 anos";"Mulheres";"151744"
"Norte";"26 anos";"Homens";"145252"
"Norte";"26 anos";"Mulheres";"148329"
"Norte";"27 anos";"Homens";"140595"
"Norte";"27 anos";"Mulheres";"143973"
"Norte";"28 anos";"Homens";"140693"
"Norte";"28 anos";"Mulheres";"143657"
"Norte";"29 anos";"Homens";"130491"
"Norte";"29 anos";"Mulheres";"135823"
"Norte";"30 anos";"Homens";"145243"
"Norte";"30 anos";"Mulheres";"148432"
"Norte";"31 anos";"Homens";"122386"
"Norte";"31 anos";"Mulheres";"128051"
"Norte";"32 anos";"Homens";"134143"
"Norte";"32 anos";"Mulheres";"140988"
"Norte";"33 anos";"Homens";"130851"
"Norte";"33 anos";"Mulheres";"136335"
"Norte";"34 anos";"Homens";"127683"
"Norte";"34 anos";"Mulheres";"134551"
"Norte";"35 anos";"Homens";"138392"
"Norte";"35 anos";"Mulheres";"143277"
"Norte";"36 anos";"Homens";"135566"
"Norte";"36 anos";"Mulheres";"141235"
"Norte";"37 anos";"Homens";"131559"
"Norte";"37 anos";"Mulheres";"137231"
"Norte";"38 anos";"Homens";"134352"
