"Tabela 9514 - População residente, por sexo, idade e forma de declaração da idade"
"Variável - População residente (Pessoas)"
"Forma de declaração da idade - Total"
"Ano - 2022"
"Cód.";"Unidade da Federação";"Idade";"Sexo";""
"11";"Rondônia";"Menos de 1 ano";"Homens";"10974"
"11";"Rondônia";"Menos de 1 ano";"Mulheres";"10698"
"11";"Rondônia";"1 ano";"Homens";"10800"
"11";"Rondônia";"1 ano";"Mulheres";"10418"
"11";"Rondônia";"2 anos";"Homens";"11536"
"11";"Rondônia";"2 anos";"Mulheres";"11175"
"11";"Rondônia";"3 anos";"Homens";"12272"
"11";"Rondônia";"3 anos";"Mulheres";"11782"
"11";"Rondônia";"4 anos";"Homens";"12079"
"11";"Rondônia";"4 anos";"Mulheres";"11716"
"11";"Rondônia";"5 anos";"Homens";"11686"
"11";"Rondônia";"5 anos";"Mulheres";"11298"
"11";"Rondônia";"6 anos";"Homens";"12104"
"11";"Rondônia";"6 anos";"Mulheres";"11669"
"11";"Rondônia";"7 anos";"Homens";"12117"
"11";"Rondônia";"7 anos";"Mulheres";"11746"
"11";"Rondônia";"8 anos";"Homens";"12051"
"11";"Rondônia";"8 anos";"Mulheres";"11359"
"11";"Rondônia";"9 anos";"Homens";"11946"
"11";"Rondônia";"9 anos";"Mulheres";"11560"
"11";"Rondônia";"10 anos";"Homens";"11906"
"11";"Rondônia";"10 anos";"Mulheres";"11337"
"11";"Rondônia";"11 anos";"Homens";"11757"
"11";"Rondônia";"11 anos";"Mulheres";"11313"
"11";"Rondônia";"12 anos";"Homens";"11970"
"11";"Rondônia";"12 anos";"Mulheres";"11558"
"11";"Rondônia";"13 anos";"Homens";"12027"
"11";"Rondônia";"13 anos";"Mulheres";"11711"
"11";"Rondônia";"14 anos";"Homens";"12081"
"11";"Rondônia";"14 anos";"Mulheres";"11506"
"11";"Rondônia";"15 anos";"Homens";"12357"
"11";"Rondônia";"15 anos";"Mulheres";"12069"
"11";"Rondônia";"16 anos";"Homens";"12513"
"11";"Rondônia";"16 anos";"Mulheres";"12146"
"11";"Rondônia";"17 anos";"Homens";"12630"
"11";"Rondônia";"17 anos";"Mulheres";"12322"
"11";"Rondônia";"18 anos";"Homens";"12566"
"11";"Rondônia";"18 anos";"Mulheres";"12005"
"11";"Rondônia";"19 anos";"Homens";"11876"
"11";"Rondônia";"19 anos";"Mulheres";"11574"
"11";"Rondônia";"20 anos";"Homens";"12238"
"11";"Rondônia";"20 anos";"Mulheres";"12353"
"11";"Rondônia";"21 anos";"Homens";"12398"
